Problem,Solution,Website,Code
1,233168,https://projecteuler.net/problem=1,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/001_multiples_of_3_or_5.py
2,4613732,https://projecteuler.net/problem=2,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/002_even_fibonacci_numbers.py
3,6857,https://projecteuler.net/problem=3,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/003_largest_prime_factor.py
4,906609,https://projecteuler.net/problem=4,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/004_largest_palindrome_product.py
5,232792560,https://projecteuler.net/problem=5,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/005_smallest_multiple.py
6,25164150,https://projecteuler.net/problem=6,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/006_sum_square_difference.py
7,104743,https://projecteuler.net/problem=7,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/007_10001st_prime.py
8,23514624000,https://projecteuler.net/problem=8,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/008_largest_product_in_a_series.py
9,31875000,https://projecteuler.net/problem=9,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/009_special_pitagorean_triplet.py
10,142913828922,https://projecteuler.net/problem=10,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/010_summation_of_primes.py
11,70600674,https://projecteuler.net/problem=11,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/011_largest_product_in_a_grid.py
12,76576500,https://projecteuler.net/problem=12,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/012_highly_divisible_triangular_number.py
13,5537376230,https://projecteuler.net/problem=13,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/013_large_sum.py
14,837799,https://projecteuler.net/problem=14,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/014_longest_collatz_sequence.py
15,137846528820,https://projecteuler.net/problem=15,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/015_lattice_paths.py
16,1366,https://projecteuler.net/problem=16,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/016_power_digit_sum.py
17,21124,https://projecteuler.net/problem=17,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/017_number_letter_counts.py
18,1074,https://projecteuler.net/problem=18,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/018_maximum_path_sum_i.py
19,171,https://projecteuler.net/problem=19,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/019_counting_sundays.py
20,648,https://projecteuler.net/problem=20,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/020_factorials_digit_sum.py
21,31626,https://projecteuler.net/problem=21,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/021_amicable_numbers.py
22,871198282,https://projecteuler.net/problem=22,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/022_names_scores.py
23,4179871,https://projecteuler.net/problem=23,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/023_non_abundant_sums.py
24,2783915460,https://projecteuler.net/problem=24,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/024_lexicographic_permutations.py
25,4782,https://projecteuler.net/problem=25,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/025_1000-digit_fibonacci_number.py
26,983,https://projecteuler.net/problem=26,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/026_reciprocal_cycles.py
27,-59231,https://projecteuler.net/problem=27,https://github.com/Miguecetin/Project-Euler-Solutions/blob/bef87d63931ca3fad6135968e822f40947e93ef8/python%20solutions/027_quadratic_primes.py
